id,sample,device_envelope_us,host_us,max_abs_error
sharing_best_scale1_sharing_060,0,1222.57995605,1311.876,0
sharing_worst_scale1_sharing_003,0,16929.8000336,17079.18,0
sharing_worst_scale2_sharing_002,0,33769.1383362,33913.029,0
sharing_worst_scale2_sharing_003,0,33335.6208801,33482.257,0
sharing_best_scale1_sharing_061,0,706.640005112,833.054,0
sharing_worst_scale1_sharing_002,0,16949.5792389,17074.849,0
sharing_best_scale2_sharing_060,0,2612.33997345,2722.613,0
sharing_best_scale2_sharing_061,0,1758.88001919,1851.188,0
sharing_best_scale2_sharing_060,1,2646.15988731,2787.173,0
sharing_worst_scale1_sharing_002,1,16991.6191101,17145.341,0
sharing_best_scale2_sharing_061,1,1712.85998821,1815.759,0
sharing_worst_scale1_sharing_003,1,17001.2397766,17141.69,0
sharing_best_scale1_sharing_061,1,841.419994831,945.304,0
sharing_worst_scale2_sharing_003,1,34057.5408936,34181.43,0
sharing_worst_scale2_sharing_002,1,33336.6394043,33487.426,0
sharing_best_scale1_sharing_060,1,1241.88005924,1358.486,0
sharing_worst_scale1_sharing_002,2,16938.9190674,17066.42,0
sharing_best_scale2_sharing_061,2,1695.16003132,1825.239,0
sharing_worst_scale1_sharing_003,2,17000.4405975,17141.07,0
sharing_best_scale1_sharing_061,2,824.999988079,936.094,0
sharing_worst_scale2_sharing_002,2,34056.7207336,34177.52,0
sharing_best_scale2_sharing_060,2,2597.50008583,2718.882,0
sharing_worst_scale2_sharing_003,2,34040.3213501,34199.36,0
sharing_best_scale1_sharing_060,2,1251.26004219,1359.717,0
sharing_best_scale2_sharing_060,3,2637.63999939,2752.323,0
sharing_best_scale1_sharing_061,3,871.280014515,992.845,0
sharing_worst_scale1_sharing_003,3,16958.5990906,17097.46,0
sharing_worst_scale2_sharing_003,3,33800.0411987,33981.689,0
sharing_best_scale1_sharing_060,3,1242.93994904,1362.756,0
sharing_worst_scale1_sharing_002,3,16912.5595093,17079.619,0
sharing_worst_scale2_sharing_002,3,33817.7604675,33977.758,0
sharing_best_scale2_sharing_061,3,1697.44002819,1806.009,0
sharing_worst_scale1_sharing_002,4,16992.2599792,17127.06,0
sharing_worst_scale2_sharing_003,4,33747.341156,33898.639,0
sharing_best_scale2_sharing_060,4,2595.97992897,2709.623,0
sharing_best_scale1_sharing_061,4,937.240004539,1052.325,0
sharing_best_scale2_sharing_061,4,1745.54002285,1854.999,0
sharing_worst_scale2_sharing_002,4,34031.4407349,34162.55,0
sharing_worst_scale1_sharing_003,4,16719.4194794,16836.979,0
sharing_best_scale1_sharing_060,4,1251.19996071,1354.707,0
sharing_best_scale2_sharing_061,5,1734.07995701,1897.208,0
sharing_best_scale1_sharing_060,5,1372.15995789,1508.047,0
sharing_worst_scale1_sharing_003,5,16969.3393707,17119.52,0
sharing_best_scale1_sharing_061,5,790.380001068,896.255,0
sharing_worst_scale1_sharing_002,5,16949.3808746,17088.33,0
sharing_best_scale2_sharing_060,5,2642.9400444,2785.503,0
sharing_worst_scale2_sharing_003,5,34030.2810669,34187.9,0
sharing_worst_scale2_sharing_002,5,33346.0006714,33468.396,0
sharing_best_scale1_sharing_061,6,717.939972878,829.694,0
sharing_worst_scale2_sharing_003,6,34029.8194885,34141.31,0
sharing_worst_scale2_sharing_002,6,33333.820343,33522.087,0
sharing_best_scale2_sharing_061,6,1694.46003437,1808.559,0
sharing_worst_scale1_sharing_002,6,17037.5995636,17180.14,0
sharing_best_scale2_sharing_060,6,2641.299963,2744.513,0
sharing_best_scale1_sharing_060,6,1337.08000183,1521.917,0
sharing_worst_scale1_sharing_003,6,16949.7394562,17078.47,0
sharing_worst_scale2_sharing_002,7,33780.7388306,33910.378,0
sharing_worst_scale2_sharing_003,7,33357.3417664,33486.716,0
sharing_worst_scale1_sharing_002,7,16683.9199066,16893.828,0
sharing_best_scale1_sharing_060,7,1268.82004738,1432.737,0
sharing_worst_scale1_sharing_003,7,16955.7800293,17075.28,0
sharing_best_scale1_sharing_061,7,811.919987202,927.354,0
sharing_best_scale2_sharing_060,7,2707.61990547,2868.753,0
sharing_best_scale2_sharing_061,7,1725.55994987,1888.869,0
sharing_worst_scale1_sharing_003,8,17014.2993927,17165.21,0
sharing_worst_scale2_sharing_002,8,33744.5793152,33859.398,0
sharing_best_scale1_sharing_061,8,746.079981327,883.264,0
sharing_best_scale1_sharing_060,8,1373.03996086,1510.517,0
sharing_best_scale2_sharing_061,8,1727.59997845,1869.279,0
sharing_best_scale2_sharing_060,8,2668.87998581,2793.643,0
sharing_worst_scale2_sharing_003,8,34061.1000061,34190.53,0
sharing_worst_scale1_sharing_002,8,16724.3404388,16834.258,0
sharing_best_scale1_sharing_060,9,1262.85994053,1379.657,0
sharing_worst_scale2_sharing_002,9,34112.0986938,34323.141,0
sharing_worst_scale2_sharing_003,9,33347.6409912,33464.146,0
sharing_worst_scale1_sharing_002,9,16679.5406342,16835.339,0
sharing_best_scale2_sharing_060,9,2608.5600853,2731.953,0
sharing_best_scale1_sharing_061,9,922.299981117,1017.295,0
sharing_best_scale2_sharing_061,9,1761.16001606,1854.118,0
sharing_worst_scale1_sharing_003,9,17033.58078,17162.21,0
sharing_worst_scale1_sharing_002,10,16711.479187,16827.458,0
sharing_best_scale2_sharing_061,10,1761.78002357,1862.459,0
sharing_worst_scale2_sharing_002,10,34007.4195862,34168.039,0
sharing_worst_scale1_sharing_003,10,16708.7593079,16832.028,0
sharing_best_scale1_sharing_060,10,1252.38001347,1392.647,0
sharing_best_scale1_sharing_061,10,872.619986534,989.255,0
sharing_best_scale2_sharing_060,10,2687.93988228,2816.713,0
sharing_worst_scale2_sharing_003,10,34040.6188965,34183.76,0
sharing_worst_scale2_sharing_003,11,33370.3613281,33542.417,0
sharing_worst_scale1_sharing_003,11,16709.5394135,16829.168,0
sharing_best_scale2_sharing_061,11,1712.29994297,1842.289,0
sharing_worst_scale2_sharing_002,11,34023.5404968,34199.63,0
sharing_best_scale2_sharing_060,11,2612.97988892,2725.402,0
sharing_best_scale1_sharing_061,11,878.759980202,1025.685,0
sharing_worst_scale1_sharing_002,11,16975.9197235,17143.33,0
sharing_best_scale1_sharing_060,11,1303.95996571,1431.017,0
sharing_worst_scale2_sharing_002,12,34059.5397949,34274.27,0
sharing_best_scale1_sharing_060,12,1239.12000656,1366.346,0
sharing_worst_scale1_sharing_002,12,16920.4406738,17070.459,0
sharing_worst_scale1_sharing_003,12,16738.2392883,16864.918,0
sharing_best_scale1_sharing_061,12,806.760013103,928.264,0
sharing_best_scale2_sharing_060,12,2650.57992935,2794.633,0
sharing_best_scale2_sharing_061,12,1722.30005264,1869.289,0
sharing_worst_scale2_sharing_003,12,33987.5984192,34133.119,0
sharing_worst_scale2_sharing_003,13,33357.421875,33538.927,0
sharing_worst_scale1_sharing_002,13,16696.8994141,16829.449,0
sharing_worst_scale2_sharing_002,13,33342.3194885,33448.386,0
sharing_best_scale2_sharing_061,13,1701.35998726,1819.449,0
sharing_worst_scale1_sharing_003,13,16975.9407043,17109.36,0
sharing_best_scale2_sharing_060,13,2606.26006126,2769.383,0
sharing_best_scale1_sharing_061,13,873.780012131,999.634,0
sharing_best_scale1_sharing_060,13,1356.52005672,1476.997,0
sharing_best_scale2_sharing_060,14,2624.72009659,2765.853,0
sharing_worst_scale1_sharing_002,14,16997.4403381,17154.611,0
sharing_worst_scale1_sharing_003,14,16699.5792389,16847.719,0
sharing_worst_scale2_sharing_002,14,33747.1199036,33906.029,0
sharing_worst_scale2_sharing_003,14,33345.7984924,33495.996,0
sharing_best_scale1_sharing_060,14,1296.28002644,1434.497,0
sharing_best_scale1_sharing_061,14,958.779990673,1067.725,0
sharing_best_scale2_sharing_061,14,1725.96001625,1835.658,0
sharing_best_scale1_sharing_061,15,858.080029488,990.425,0
sharing_best_scale2_sharing_061,15,1738.96002769,1859.528,0
sharing_best_scale2_sharing_060,15,2679.55994606,2827.364,0
sharing_worst_scale1_sharing_003,15,17042.0207977,17242.43,0
sharing_worst_scale1_sharing_002,15,16707.4604034,16843.029,0
sharing_worst_scale2_sharing_003,15,33751.701355,33879.419,0
sharing_best_scale1_sharing_060,15,1269.68002319,1393.326,0
sharing_worst_scale2_sharing_002,15,34052.0401001,34172.449,0
sharing_worst_scale1_sharing_002,16,16738.3804321,16852.639,0
sharing_best_scale1_sharing_061,16,746.299982071,853.283,0
sharing_worst_scale2_sharing_002,16,33990.4212952,34140.909,0
sharing_best_scale2_sharing_060,16,2588.97995949,2714.753,0
sharing_best_scale2_sharing_061,16,1728.09994221,1858.569,0
sharing_best_scale1_sharing_060,16,1367.8599596,1483.077,0
sharing_worst_scale2_sharing_003,16,34049.621582,34188.35,0
sharing_worst_scale1_sharing_003,16,16711.019516,16832.158,0
sharing_worst_scale1_sharing_003,17,16707.3802948,16836.259,0
sharing_worst_scale1_sharing_002,17,16708.8394165,16843.859,0
sharing_best_scale1_sharing_060,17,1242.40005016,1367.406,0
sharing_best_scale2_sharing_060,17,2633.75997543,2759.883,0
sharing_best_scale1_sharing_061,17,859.960019588,1015.185,0
sharing_worst_scale2_sharing_002,17,34062.0193481,34208.05,0
sharing_best_scale2_sharing_061,17,1681.02002144,1810.458,0
sharing_worst_scale2_sharing_003,17,33986.8812561,34150.119,0
sharing_worst_scale1_sharing_002,18,16695.8808899,16822.848,0
sharing_best_scale1_sharing_061,18,755.980014801,865.844,0
sharing_best_scale1_sharing_060,18,1368.70002747,1498.967,0
sharing_worst_scale1_sharing_003,18,16918.2395935,17063.96,0
sharing_best_scale2_sharing_060,18,2610.17990112,2731.803,0
sharing_worst_scale2_sharing_003,18,34033.4815979,34192.269,0
sharing_worst_scale2_sharing_002,18,33303.5583496,33516.116,0
sharing_best_scale2_sharing_061,18,1673.20001125,1834.749,0
sharing_worst_scale2_sharing_003,19,34051.361084,34219.65,0
sharing_best_scale1_sharing_060,19,1251.70004368,1381.756,0
sharing_best_scale2_sharing_060,19,2667.74010658,2787.403,0
sharing_best_scale2_sharing_061,19,1734.84003544,1875.059,0
sharing_worst_scale1_sharing_002,19,16964.4393921,17115.09,0
sharing_best_scale1_sharing_061,19,838.379979134,955.714,0
sharing_worst_scale1_sharing_003,19,16985.9600067,17504.242,0
sharing_worst_scale2_sharing_002,19,33842.540741,33983.889,0
sharing_best_scale2_sharing_061,20,1698.50003719,1841.669,0
sharing_worst_scale2_sharing_003,20,34051.1016846,34206.97,0
sharing_best_scale1_sharing_061,20,732.959985733,842.884,0
sharing_worst_scale2_sharing_002,20,34026.1192322,34151.36,0
sharing_best_scale2_sharing_060,20,2613.67988586,2738.152,0
sharing_worst_scale1_sharing_003,20,17026.8001556,17151.84,0
sharing_best_scale1_sharing_060,20,1295.74000835,1396.846,0
sharing_worst_scale1_sharing_002,20,16950.920105,17086.74,0
sharing_worst_scale2_sharing_003,21,33835.9985352,33963.139,0
sharing_best_scale1_sharing_061,21,724.179983139,847.474,0
sharing_worst_scale1_sharing_002,21,16915.8000946,17104.52,0
sharing_worst_scale1_sharing_003,21,16722.0802307,16856.169,0
sharing_best_scale2_sharing_061,21,1724.85995293,1824.379,0
sharing_best_scale2_sharing_060,21,2676.52010918,2818.743,0
sharing_worst_scale2_sharing_002,21,34054.4013977,34211.09,0
sharing_best_scale1_sharing_060,21,1233.83998871,1367.777,0
sharing_worst_scale2_sharing_002,22,34045.29953,34191.3,0
sharing_best_scale1_sharing_060,22,1251.44004822,1375.926,0
sharing_best_scale1_sharing_061,22,870.599985123,1016.405,0
