id,sample,device_envelope_us,host_us,max_abs_error
smoke_000,0,24.5200004429,84.721,0
smoke_005,0,77.3200020194,178.791,0
smoke_006,0,141.58000052,242.791,0
smoke_007,0,140.780001879,254.741,0
smoke_001,0,43.6800010502,112.87,0
smoke_004,0,58.1399984658,120.411,0
smoke_002,0,274.239987135,333.652,0
smoke_003,0,280.739992857,354.092,0
smoke_002,1,286.760002375,401.402,0
smoke_004,1,56.9199994206,142.361,0
smoke_003,1,263.859987259,336.301,0
smoke_005,1,88.9599993825,196.061,0
smoke_001,1,31.1999991536,121.04,0
smoke_007,1,138.239994645,252.142,0
smoke_006,1,144.519999623,248.941,0
smoke_000,1,56.3599988818,139.541,0
smoke_004,2,45.9600016475,136.41,0
smoke_003,2,251.520007849,328.162,0
smoke_005,2,111.660003662,194.961,0
smoke_001,2,35.2800004184,118.481,0
smoke_006,2,133.56000185,225.461,0
smoke_002,2,278.860002756,370.871,0
smoke_007,2,150.859996676,245.751,0
smoke_000,2,63.4000003338,134.291,0
