file,bytes,role,functions_or_fields,paper_location,usage_boundary
.gitattributes,668,项目配置或附件,,附件,保留复现所需上下文
.gitignore,6604,项目配置或附件,,附件,保留复现所需上下文
A题研究/A题实施与推进方案.md,16894,题意、方法、实验结论、协议或复现说明：A题实施与推进方案,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/A题论文结构与证据清单.md,5935,题意、方法、实验结论、协议或复现说明：A题论文结构与证据清单,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/README.md,5862,题意、方法、实验结论、协议或复现说明：A题研究工作区,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/advanced_solver/BATCH.md,5817,题意、方法、实验结论、协议或复现说明：统一批量入口,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/advanced_solver/README_cache_refine.md,6813,题意、方法、实验结论、协议或复现说明：P3 关键读取缓存局部改进,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/advanced_solver/TRACE_REFINE.md,7422,题意、方法、实验结论、协议或复现说明：Trace 邻域模块,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/advanced_solver/__init__.py,78,求解、候选生成、实验运行或统计辅助代码；Mechanism-aware A contest solver; official evaluator remains immutable.,,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/advanced_solver/batch.py,24226,"求解、候选生成、实验运行或统计辅助代码；Auditable batch orchestration: sequential slots per graph, parallel graphs.",source_hashes:L28-35; parse_numbers:L38-53; _contained:L56-60; _slot_key:L63-64; _signature:L67-79; build_command:L82-103; verify_summary:L106-180; _result_row:L183-196; run_slot:L199-256; run_batch:L259-343; main:L346-395,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/advanced_solver/cache_refine.py,25223,基于缓存观察形成调整顺序和分配的候选。,CacheResultMismatch:L21-22; _require:L25-27; _signature:L30-32; _core_map:L35-37; _tensor_views:L40-48; _validate_observation:L51-189; _observed_order_and_tails:L192-209; _priority_order:L212-225; _runs_plan:L228-238; generate_cache_candidates:L241-413,§6.2 P3关键读取优化,给关键读—时窗—候选—复评伪代码，不抄整段实现。
A题研究/advanced_solver/component_baseline.md,6400,题意、方法、实验结论、协议或复现说明：强整分量对照候选模块,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
