id,kind,case,problem,cores,method,status,makespan,added_copy,calls,failed_calls,generation_errors,seconds
case_001_p1_n3_integrated,cold,case_001,1,3,integrated,success,78545,2304,3,0,0,5.314573021001706
case_001_p1_n1_integrated,cold,case_001,1,1,integrated,success,233110,0,5,0,0,5.68505209399882
case_001_p1_n3_joint_tonight,cold,case_001,1,3,joint_tonight,success,78545,2304,3,0,0,6.33065281099698
case_001_p1_n1_joint_tonight,cold,case_001,1,1,joint_tonight,success,233110,0,5,0,0,6.61499601900141
case_001_p1_n2_integrated,cold,case_001,1,2,integrated,success,116868,1152,6,0,0,6.793194467005378
case_001_p1_n4_integrated,cold,case_001,1,4,integrated,success,58984,3456,8,0,0,8.157724632001191
case_001_p1_n5_integrated,cold,case_001,1,5,integrated,success,47502,4608,8,0,0,8.596099743997911
case_001_p1_n2_joint_tonight,cold,case_001,1,2,joint_tonight,success,116868,1152,6,0,0,8.684936389996437
case_001_p1_n4_joint_tonight,cold,case_001,1,4,joint_tonight,success,58984,3456,8,0,0,9.199671049995231
case_001_p1_n5_joint_tonight,cold,case_001,1,5,joint_tonight,success,47502,4608,8,0,0,9.936685131004197
case_002_p1_n1_integrated,cold,case_002,1,1,integrated,success,261945,0,11,0,0,21.995105215995864
case_002_p1_n1_joint_tonight,cold,case_002,1,1,joint_tonight,success,261945,0,12,0,0,24.550921516005474
case_002_p1_n2_joint_tonight,cold,case_002,1,2,joint_tonight,success,136489,56832,24,0,0,37.76984069900209
case_002_p1_n2_integrated,cold,case_002,1,2,integrated,success,132881,56832,24,0,0,41.053335779994086
case_002_p1_n4_integrated,cold,case_002,1,4,integrated,success,83979,1692672,24,0,0,51.69821962599963
case_002_p1_n3_integrated,cold,case_002,1,3,integrated,success,116122,1701888,24,0,0,58.55832404100511
case_002_p1_n5_integrated,cold,case_002,1,5,integrated,success,65443,2193408,24,0,0,61.80692423299479
case_002_p1_n3_joint_tonight,cold,case_002,1,3,joint_tonight,success,105235,1697280,24,0,0,70.4533659650042
case_002_p1_n5_joint_tonight,cold,case_002,1,5,joint_tonight,success,65301,2193408,24,0,0,78.05498386899853
case_004_p1_n1_joint_tonight,cold,case_004,1,1,joint_tonight,success,392357,0,8,0,0,9.426722476993746
case_002_p1_n4_joint_tonight,cold,case_002,1,4,joint_tonight,success,82636,1823232,24,0,0,93.13054217700119
case_004_p1_n1_integrated,cold,case_004,1,1,integrated,success,392357,0,7,0,0,7.9245158990015625
case_004_p1_n2_integrated,cold,case_004,1,2,integrated,success,199074,110592,4,0,0,6.528143447001639
case_004_p1_n2_joint_tonight,cold,case_004,1,2,joint_tonight,success,199074,110592,4,0,0,7.373304610999185
case_004_p1_n3_joint_tonight,cold,case_004,1,3,joint_tonight,success,134043,221184,7,0,0,8.757966896999278
case_004_p1_n3_integrated,cold,case_004,1,3,integrated,success,134043,221184,7,0,0,8.01801202599745
case_004_p1_n4_integrated,cold,case_004,1,4,integrated,success,104188,331776,4,0,0,6.569547815997794
case_004_p1_n4_joint_tonight,cold,case_004,1,4,joint_tonight,success,104188,331776,4,0,0,9.798989528004313
