case,cores,p2_makespan,p3_makespan,p2_over_p3,p2_added_copy,p3_added_copy,p2_cache_hit_rate,p3_cache_hit_rate,p3_hit_bytes,p3_miss_bytes,relation
case_001,1,233110,233110,1.0,0,0,N/A,0.0,0,820352,equal
case_002,1,255849,251773,1.0161891862908254,3316224,2732544,N/A,0.27684117125110913,958464,2503680,faster
case_003,1,453222,453222,1.0,745240,745240,N/A,1.2071011345543564e-05,20,1656842,equal
case_004,1,386363,386363,1.0,0,0,N/A,0.0,0,451584,equal
case_005,1,73787,73787,1.0,0,0,N/A,0.0,0,318822,equal
case_006,1,77634,77634,1.0,0,0,N/A,0.0,0,543264,equal
case_007,1,979262,979262,1.0,0,0,N/A,0.0,0,880128,equal
case_008,1,254001,254001,1.0,0,0,N/A,0.0,0,1990872,equal
case_009,1,122105,122068,1.000303109742111,415618,415618,N/A,0.04763690089369525,34306,685850,faster
case_010,1,75081,75081,1.0,1282564,1282564,N/A,0.0,0,1025360,equal
case_011,1,184697,184697,1.0,0,0,N/A,0.0,0,540672,equal
case_012,1,35956,35956,1.0,0,0,N/A,0.0,0,484096,equal
case_013,1,263949,263949,1.0,0,0,N/A,0.0,0,2023424,equal
case_014,1,17513386,17512146,1.0000708079980603,60734880,60734880,N/A,0.15142691610443493,10695168,59934072,faster
case_015,1,116048,116048,1.0,1083648,1083648,N/A,0.0,0,1426306,equal
case_016,1,7715523,7715523,1.0,0,0,N/A,0.0,0,393216,equal
case_017,1,111337,111337,1.0,12288,12288,N/A,0.0,0,541262,equal
case_018,1,975003,974899,1.0001066777173842,690176,690176,N/A,0.020917553381637085,40960,1917204,faster
case_019,1,49567,49567,1.0,0,0,N/A,0.0,0,179252,equal
case_020,1,532746,532746,1.0,0,0,N/A,0.0,0,1179648,equal
case_021,1,6199721,6199721,1.0,26124288,26124288,N/A,0.0,0,15417344,equal
case_022,1,54262,54262,1.0,0,0,N/A,0.0,0,213540,equal
case_023,1,69823,69823,1.0,0,0,N/A,0.0,0,434122,equal
case_024,1,2555343,2555343,1.0,0,0,N/A,0.0,0,393216,equal
case_025,1,4703066,4703066,1.0,0,0,N/A,0.0,0,4122624,equal
case_026,1,86096,86096,1.0,1249280,1249280,N/A,0.0,0,1113526,equal
case_027,1,2229905,2229905,1.0,0,0,N/A,0.0,0,1843200,equal
case_028,1,40346726,40597261,0.9938287708621525,147635712,141611064,N/A,0.0,0,142853304,slower
case_029,1,37555,37555,1.0,0,0,N/A,0.0,0,258132,equal
case_030,1,2783863,2783811,1.0000186794290273,11663360,11663360,N/A,0.17288444040036396,1556480,7446528,faster
case_031,1,1342133,1347132,0.996289153549912,4904704,3355142,N/A,0.26434253378537714,1266694,3525172,slower
case_032,1,34152,34152,1.0,28672,28672,N/A,0.08037150892798745,24576,281204,equal
case_033,1,1738589,1738241,1.0002002023885066,4957184,4957184,N/A,0.1876845296939378,1357824,5876784,faster
case_034,1,758553,758553,1.0,59904,59904,N/A,0.011815950165136108,27648,2312240,equal
case_035,1,146202,146202,1.0,731080,731080,N/A,0.044776234231508005,34920,744958,equal
case_036,1,931510,931510,1.0,0,0,N/A,0.0,0,3277952,equal
case_037,1,210001,210001,1.0,0,0,N/A,0.0,0,532480,equal
case_038,1,1328347,1328347,1.0,4938752,4938752,N/A,0.14122044404762862,807936,4913162,equal
case_039,1,1381195,1380227,1.000701333911016,10153984,10153984,N/A,0.06092884533446954,585728,9027584,faster
case_040,1,223809,223809,1.0,0,0,N/A,0.0,0,911174,equal
case_041,1,5925894,5925504,1.0000658171861836,24450048,24450048,N/A,0.13834900731452457,4067328,25331712,faster
case_042,1,1621175,1621175,1.0,1894400,1894400,N/A,0.007394213642709286,24576,3299104,equal
case_043,1,532953,532288,1.0012493236744018,610242,1893060,N/A,0.07810278277388194,193238,2280912,faster
case_044,1,74567,74567,1.0,0,0,N/A,0.0,0,952928,equal
case_045,1,125614,125614,1.0,0,0,N/A,0.0,0,278528,equal
case_046,1,209667,209667,1.0,0,0,N/A,0.0,0,995936,equal
case_047,1,273973,277066,0.988836594890748,0,0,N/A,0.0,0,457286,slower
case_048,1,150456,150456,1.0,0,0,N/A,0.0,0,410182,equal
